"","x"
"T010101",76053172.8251584
"T010102",7566421.03830588
"T010201",48931196.4192866
"T010299",201508.309115913
"T010301",5742520.924157
"T010399",168526.969935967
"T010401",838141.208224077
"T010501",0
"T020101",25155484.8216768
"T020102",18883941.7339332
"T020103",968834.397205589
"T020104",8178780.490833
"T020199",0
"T020201",36997444.6053116
"T020202",3837115.50590085
"T020203",17885274.5703066
"T020301",10929656.8143722
"T020302",563174.204382639
"T020303",1551755.91444281
"T020399",0
"T020401",3716353.28737471
"T020402",3467176.49148041
"T020499",10945.7779453611
"T020501",12925049.5382865
"T020502",266473.376839281
"T020599",15643.3034666746
"T020601",11262596.8377475
"T020602",9539693.16802364
"T020699",84374.0609633671
"T020701",4585165.48602184
"T020799",120829.579054974
"T020801",5393830.01002342
"T020901",11402209.4962952
"T020902",19604223.874192
"T020903",15639636.0591225
"T020904",13083958.6026909
"T020905",3611004.80667132
"T020999",0
"T029999",621503.876285089
"T030101",24898753.2597341
"T030102",16885652.4294801
"T030103",15540123.1229878
"T030104",688079.902409803
"T030105",5183835.19201488
"T030106",11891207.3096268
"T030108",3779645.14072686
"T030109",6361127.63133614
"T030110",6237572.82640901
"T030111",4425453.43388751
"T030112",12155825.8757479
"T030199",954324.78568192
"T030201",10339334.1371198
"T030202",1382983.26159112
"T030203",110371.346552205
"T030204",264163.331042823
"T030299",33627.1508976694
"T030301",281814.772741706
"T030302",738214.238484454
"T030303",979258.215370832
"T030399",46326.542431901
"T030401",1411348.90095842
"T030402",345911.668721943
"T030403",193022.955423198
"T030404",273552.430627358
"T030405",54392.3966193845
"T030499",0
"T030501",4219481.61922788
"T030502",135731.327356163
"T030503",4558438.7112714
"T030504",657729.123577561
"T030599",25912.6173848537
"T039999",0
"T040101",952462.419905635
"T040102",1763575.94044559
"T040103",1543015.29306313
"T040104",64036.4610644008
"T040105",28050.8866335724
"T040106",1660733.5583424
"T040108",1193527.59227965
"T040109",441607.293800751
"T040110",841987.431989864
"T040111",666409.742511077
"T040112",3523261.40638698
"T040199",107200.611231273
"T040201",134453.836438621
"T040203",5634.72285916907
"T040301",12494.9134929528
"T040302",30292.4835891212
"T040303",89233.2600755018
"T040399",0
"T040401",489673.872996528
"T040402",10297.9726486519
"T040403",1066903.91887674
"T040404",20362.5229672313
"T040405",42557.5817259082
"T040499",11495.0381924538
"T040501",2166113.07400335
"T040502",2860400.18486465
"T040503",1435285.23997227
"T040504",1732619.54667903
"T040505",31165.6346777912
"T040506",283631.195675747
"T040507",7026570.59617213
"T040508",729062.955116562
"T040599",294539.643900768
"T049999",0
"T050101",88195348.0712073
"T050102",9206879.03937175
"T050103",41984.7546171512
"T050104",2237988.80439739
"T050201",75895.0784520898
"T050202",7285421.66364147
"T050203",0
"T050204",15955.5668612002
"T050205",244595.277643874
"T050301",69822.704108131
"T050302",24570.1687001918
"T050303",491830.875604816
"T050304",6409.25281627787
"T050305",0
"T050399",827774.129799409
"T050401",1251897.16384547
"T050403",46805.6917929892
"T050404",0
"T059999",58750.0665683068
