feature,importance
T050101,86989645.1537965
T010101,71157298.0018391
T110101,70937405.9356215
T120303,56466871.567449
T180501,52549705.1618687
T010201,50094975.3303695
T120312,38562553.3951494
T020201,37789323.3143146
T181101,35544858.0538983
T120101,31352146.8427748
T180704,26475536.7685528
T020101,26245053.4760839
T070104,25294065.6508844
T030101,24872985.4266428
T120301,23249015.1197004
T180301,20585578.751301
T020902,20141300.3219916
T120308,19667170.6004549
T020102,19010518.3986045
T180701,18311376.5665732
T181201,17878531.6227073
T020203,17078615.6777144
T180703,16052227.9175227
T020301,15506000.3135689
T070101,15250934.0818473
T030103,14928864.2919933
T020501,14356047.3768588
T070103,13504085.1610877
T030102,13495248.7725592
T030112,13201729.1544598
T181301,12960024.3923392
T180209,12840648.7539868
T120307,12746217.4792313
T020904,12079011.5669461
T020901,11787628.5733998
T160102,11684952.9672687
T060301,11641726.0520692
T020903,11567267.1071242
T140101,11353747.0856399
T189999,11209915.4057626
T181401,11041070.9958885
T181203,10991972.3157025
T020602,10824480.3892372
T030106,10672299.1860485
T130131,10403620.6886852
T050202,10346719.3180811
T020601,10121006.1738537
T181501,9944175.07974512
T060101,9788668.48594441
T030201,9679590.16012349
T180405,9506853.27682434
T050102,8965089.18168004
T160101,8913494.87799442
T180702,8794275.51854757
T130134,8670628.44901541
T130124,8417922.31803351
T130133,8402797.37616373
T010102,8341371.1713959
T130128,8250877.99139627
T140102,8041882.56259825
T040507,7852376.12448583
T020104,7805148.78845595
T181302,7703587.38634589
T070102,7628191.87920433
T080201,7292764.63964556
T130114,7197811.27083998
T150204,6853154.60056248
T180502,6850105.29101651
T180601,6840569.82459087
T030109,6764936.37668505
T181204,6757151.63518243
T030105,6630110.13780942
T020402,6488689.36679584
T030110,6353977.72365401
T010301,6236272.22457168
T020701,6220768.38502823
T020801,5734259.53934522
T120403,5609450.33643414
T180101,5606837.45115738
T120201,5542296.61926663
T180401,5007755.57247522
T159999,4962124.7686364
T180802,4960707.37554886
T181202,4904784.7213397
T080401,4870201.84409066
T130132,4540408.97805274
T090103,4487520.5939782
T120401,4219213.1637987
T080501,4213545.37473488
T120306,4132180.26812895
T180805,4123599.41238611
T030111,3999890.80172664
T160199,3999458.17257351
T030503,3942655.42738877
T130120,3860905.80680645
T180901,3747385.87974302
T030501,3747001.82308068
T020401,3744174.95744381
T030108,3677459.49927101
T180202,3609803.82972811
T181801,3549372.16635252
T130104,3510413.70563157
T181601,3496736.54939038
T020905,3481552.4742909
T180804,3417901.59786716
T110201,3192250.56957515
T150101,3125208.91006562
T130118,3095761.80645844
T040112,3000018.15325668
T150102,2920813.57610813
T120302,2911256.05692216
T020202,2861692.15042102
T120309,2843877.33702508
T040502,2732694.38437375
T181205,2694285.078208
T180305,2675502.11695932
T050104,2644482.75964459
T130224,2633842.53136618
T120305,2486658.71663529
T150501,2439536.80870371
T120402,2268031.69502337
T130213,2253415.11378188
T130202,2179845.40362448
T180206,2094028.44363978
T180302,2051412.49973379
T080403,2046157.59594273
T030202,2032420.62227655
T040103,1848962.70399735
T180207,1820062.74229112
T120202,1773869.6127569
T060102,1739955.85292827
T120499,1726221.58955931
T130299,1689084.59371779
T180201,1686089.05851104
T140105,1683149.834979
T181599,1678889.35998948
T180905,1654438.0693486
T150701,1641827.01143595
T150302,1615470.88808406
T040102,1535111.08810524
